draw_id,date,n1,n2,n3,n4,n5,n6,special,source
93/001,1993-01-05,1,8,13,24,35,43,33,github:icelam/mark-six-data-visualization
93/002,1993-01-07,6,8,16,21,24,42,37,github:icelam/mark-six-data-visualization
93/003,1993-01-12,5,6,19,25,27,45,39,github:icelam/mark-six-data-visualization
93/004,1993-01-14,2,16,27,29,36,43,35,github:icelam/mark-six-data-visualization
93/005,1993-01-19,3,7,13,18,19,31,23,github:icelam/mark-six-data-visualization
93/006,1993-01-26,19,27,35,39,41,43,16,github:icelam/mark-six-data-visualization
93/007,1993-01-28,10,20,24,31,34,39,29,github:icelam/mark-six-data-visualization
93/008,1993-02-02,1,6,18,19,29,39,41,github:icelam/mark-six-data-visualization
93/009,1993-02-04,4,22,25,30,34,39,26,github:icelam/mark-six-data-visualization
93/010,1993-02-09,4,11,24,31,34,35,40,github:icelam/mark-six-data-visualization
93/011,1993-02-11,18,26,27,28,40,42,20,github:icelam/mark-six-data-visualization
93/012,1993-02-16,4,10,29,30,35,41,31,github:icelam/mark-six-data-visualization
93/013,1993-02-18,1,2,13,18,29,32,26,github:icelam/mark-six-data-visualization
93/014,1993-02-23,8,10,12,22,26,31,25,github:icelam/mark-six-data-visualization
93/015,1993-02-25,23,25,32,39,44,45,17,github:icelam/mark-six-data-visualization
93/016,1993-03-02,14,17,25,32,38,39,20,github:icelam/mark-six-data-visualization
93/017,1993-03-04,1,4,8,10,27,30,14,github:icelam/mark-six-data-visualization
93/018,1993-03-09,1,8,15,37,40,42,13,github:icelam/mark-six-data-visualization
93/019,1993-03-11,4,7,9,11,31,42,14,github:icelam/mark-six-data-visualization
93/020,1993-03-16,8,11,12,22,26,28,9,github:icelam/mark-six-data-visualization
93/021,1993-03-18,11,16,20,36,43,45,41,github:icelam/mark-six-data-visualization
93/022,1993-03-23,3,9,14,26,30,39,16,github:icelam/mark-six-data-visualization
93/023,1993-03-25,11,15,19,21,23,29,39,github:icelam/mark-six-data-visualization
93/024,1993-03-30,7,14,22,24,25,36,23,github:icelam/mark-six-data-visualization
93/025,1993-04-01,2,7,8,10,14,42,3,github:icelam/mark-six-data-visualization
93/026,1993-04-06,4,16,21,34,36,38,43,github:icelam/mark-six-data-visualization
93/027,1993-04-08,21,25,29,30,31,35,23,github:icelam/mark-six-data-visualization
93/028,1993-04-13,4,11,16,27,37,40,19,github:icelam/mark-six-data-visualization
93/029,1993-04-15,2,7,27,34,35,38,14,github:icelam/mark-six-data-visualization
93/030,1993-04-20,1,4,16,22,33,38,37,github:icelam/mark-six-data-visualization
93/031,1993-04-22,5,24,27,32,39,42,8,github:icelam/mark-six-data-visualization
93/032,1993-04-27,1,6,22,23,32,33,35,github:icelam/mark-six-data-visualization
93/033,1993-04-29,6,19,28,32,37,42,2,github:icelam/mark-six-data-visualization
93/034,1993-05-04,17,21,23,24,28,44,9,github:icelam/mark-six-data-visualization
93/035,1993-05-06,3,9,30,38,40,45,23,github:icelam/mark-six-data-visualization
93/036,1993-05-11,2,16,24,25,26,27,21,github:icelam/mark-six-data-visualization
